date,code,language,url,pages,articles,edits,images,users,activeusers,admins,jobs
2026-07-15,kge,Kumoring,https://kge.wikipedia.org,4661,2907,32027,0,1614,9,0,0
2026-07-15,ki,Gĩkũyũ,https://ki.wikipedia.org,4318,2502,23890,0,10545,18,1,0
2026-07-15,kk,қазақша,https://kk.wikipedia.org,668543,244290,3626664,8762,179752,328,15,0
2026-07-15,km,ភាសាខ្មែរ,https://km.wikipedia.org,37366,12154,336953,808,51342,125,2,0
2026-07-15,kn,ಕನ್ನಡ,https://kn.wikipedia.org,160289,35216,1371709,2358,98480,235,4,0
2026-07-15,knc,Yerwa Kanuri,https://knc.wikipedia.org,2877,1973,29572,0,1689,19,2,0
2026-07-15,ko,한국어,https://ko.wikipedia.org,3567398,754161,42050010,15528,1033056,5730,23,0
2026-07-15,koi,перем коми,https://koi.wikipedia.org,13903,3472,64055,0,9924,14,1,0
2026-07-15,krc,къарачай-малкъар,https://krc.wikipedia.org,17497,2857,124381,0,12055,17,2,0
2026-07-15,ks,کٲشُر,https://ks.wikipedia.org,26131,11151,144632,90,14326,44,2,0
2026-07-15,ksh,Ripoarisch,https://ksh.wikipedia.org,10812,3038,1610349,0,25355,14,4,0
2026-07-15,ku,kurdî,https://ku.wikipedia.org,301652,91907,2078820,554,169027,104,3,0
2026-07-15,kus,Kʋsaal,https://kus.wikipedia.org,2079,1367,17102,0,1186,10,0,0
2026-07-15,kv,коми,https://kv.wikipedia.org,20213,5821,148817,0,16995,20,1,0
2026-07-15,kw,kernowek,https://kw.wikipedia.org,15112,7226,226982,6,18763,26,3,0
2026-07-15,ky,кыргызча,https://ky.wikipedia.org,125126,76490,649577,2679,47920,110,3,0
2026-07-15,la,Latina,https://la.wikipedia.org,295251,141971,3962638,0,209301,175,21,0
2026-07-15,lad,Ladino,https://lad.wikipedia.org,12837,4063,216476,21,24976,23,3,0
2026-07-15,lb,Lëtzebuergesch,https://lb.wikipedia.org,143021,67478,2682053,2539,71759,104,7,0
2026-07-15,lbe,лакку,https://lbe.wikipedia.org,16223,1069,55278,0,9774,11,2,0
2026-07-15,lez,лезги,https://lez.wikipedia.org,15208,4475,98619,11,12980,24,3,0
2026-07-15,lfn,Lingua Franca Nova,https://lfn.wikipedia.org,7445,4658,43304,0,17337,22,1,0
2026-07-15,lg,Luganda,https://lg.wikipedia.org,11242,5676,62878,0,11359,67,2,0
2026-07-15,li,Limburgs,https://li.wikipedia.org,68823,15213,485401,622,33706,39,7,0
2026-07-15,lij,Ligure,https://lij.wikipedia.org,28510,11566,271399,38,19984,27,7,0
2026-07-15,lld,Ladin,https://lld.wikipedia.org,191031,183202,252379,4,13999,30,3,0
2026-07-15,lmo,lombard,https://lmo.wikipedia.org,153490,80172,1327946,795,53742,46,3,0
2026-07-15,ln,lingála,https://ln.wikipedia.org,11940,5217,135258,34,15883,23,4,0
2026-07-15,lo,ລາວ,https://lo.wikipedia.org,16371,5578,128971,40,23372,61,3,0
2026-07-15,lt,lietuvių,https://lt.wikipedia.org,566228,226309,7866286,27101,219505,509,9,0
2026-07-15,ltg,latgaļu,https://ltg.wikipedia.org,3307,1153,37931,0,8808,10,1,0
2026-07-15,lv,latviešu,https://lv.wikipedia.org,575665,144370,4487226,28771,146821,423,14,0
2026-07-15,lzh,文言,https://zh-classical.wikipedia.org,122670,14099,442937,0,119068,68,6,0
2026-07-15,mad,Madhurâ,https://mad.wikipedia.org,16000,5372,58566,0,5309,46,4,0
2026-07-15,mag,मगही,https://mag.wikipedia.org,16615,3653,61954,0,246,0,1,0
2026-07-15,mai,मैथिली,https://mai.wikipedia.org,46081,14354,274972,126,17332,37,4,0
2026-07-15,map-bms,Basa Banyumasan,https://map-bms.wikipedia.org,30426,13974,222208,452,20056,20,1,0
2026-07-15,mdf,мокшень,https://mdf.wikipedia.org,24041,7629,103532,0,11884,23,1,0
2026-07-15,mg,Malagasy,https://mg.wikipedia.org,262587,103484,1146620,3,40104,113,2,0
2026-07-15,mhr,олык марий,https://mhr.wikipedia.org,31750,11325,203147,0,16688,20,1,0
2026-07-15,mi,Māori,https://mi.wikipedia.org,15582,8053,168004,0,23038,24,2,0
2026-07-15,min,Minangkabau,https://min.wikipedia.org,475116,229723,3349619,180,24177,49,6,0
2026-07-15,mk,македонски,https://mk.wikipedia.org,606522,163170,5580106,9037,134016,275,12,0
2026-07-15,ml,മലയാളം,https://ml.wikipedia.org,554487,88218,4385865,7506,206525,388,13,0
2026-07-15,mn,монгол,https://mn.wikipedia.org,115175,27811,860558,1405,104725,228,4,0
2026-07-15,mni,ꯃꯤꯇꯩ ꯂꯣꯟ,https://mni.wikipedia.org,17890,10549,62053,0,48207,27,3,0
2026-07-15,mnw,ဘာသာမန်,https://mnw.wikipedia.org,11330,4077,56120,0,5429,20,4,0
2026-07-15,mos,moore,https://mos.wikipedia.org,2120,1326,31794,0,1739,12,0,0
2026-07-15,mr,मराठी,https://mr.wikipedia.org,332983,102317,2689895,2403,182757,303,10,0
2026-07-15,mrj,кырык мары,https://mrj.wikipedia.org,21615,10430,108133,0,12372,19,1,0
2026-07-15,ms,Bahasa Melayu,https://ms.wikipedia.org,1186793,439888,6886374,17903,403330,2006,14,0
2026-07-15,mt,Malti,https://mt.wikipedia.org,23834,7886,330337,697,28166,44,4,0
2026-07-15,mwl,Mirandés,https://mwl.wikipedia.org,10787,4336,106728,0,15311,25,1,0
