wikimedia_language_code,bcp47_tag,bcp47_primary_language,iso_639_1,iso_639_2_bibliographic,iso_639_2_terminologic,iso_639_3,iso_scope,iso_language_type,iso_reference_name,mapping_type,mapping_confidence,mapping_note,language_name_english,language_name_native,wikipedia_url,api_url,analytics_project,database_name,site_name,status,is_active,is_closed,article_count,total_pages,total_edits,registered_users,active_users,administrators,files_local,pageviews_30_days,pageviews_365_days,pageviews_30_start,pageviews_30_end,pageviews_365_start,pageviews_365_end,date_established,date_established_source,statistics_retrieved_at_utc,pageviews_retrieved_at_utc,connector_error
ga,ga,ga,ga,gle,gle,gle,I,L,Irish,iso_registry_crosswalk,high,,Gaeilge,Irish,https://ga.wikipedia.org,https://ga.wikipedia.org/w/api.php,ga.wikipedia,gawiki,Vicipéid,active,True,False,64194,117066,1318411,74256,103,6,1016,1980544,12530446,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:15.995743+00:00,2026-07-19T08:26:15.995743+00:00,
su,su,su,su,sun,sun,sun,I,L,Sundanese,iso_registry_crosswalk,high,,Sunda,Sundanese,https://su.wikipedia.org,https://su.wikipedia.org/w/api.php,su.wikipedia,suwiki,Wikipedia,active,True,False,62940,100767,699291,36193,78,7,419,349648,5632660,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:29:14.434431+00:00,2026-07-19T08:29:14.434431+00:00,
io,io,io,io,ido,ido,ido,I,C,Ido,iso_registry_crosswalk,high,,Ido,Ido,https://io.wikipedia.org,https://io.wikipedia.org/w/api.php,io.wikipedia,iowiki,Wikipedio,active,True,False,62892,106970,1123705,46282,65,4,0,481430,7767905,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:02.976588+00:00,2026-07-19T08:27:02.976588+00:00,
is,is,is,is,ice,isl,isl,I,L,Icelandic,iso_registry_crosswalk,high,,íslenska,Icelandic,https://is.wikipedia.org,https://is.wikipedia.org/w/api.php,is.wikipedia,iswiki,Wikipedia,active,True,False,61148,161024,1967899,116771,211,11,3345,2264104,21610291,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:03.473780+00:00,2026-07-19T08:27:03.473780+00:00,
szl,szl,szl,,,,szl,I,L,Silesian,direct_iso_639_3,high,,ślůnski,Silesian,https://szl.wikipedia.org,https://szl.wikipedia.org/w/api.php,szl.wikipedia,szlwiki,Wikipedia,active,True,False,60835,77535,386653,30105,55,2,0,239700,5118662,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:29:16.293535+00:00,2026-07-19T08:29:16.293535+00:00,
fy,fy,fy,fy,fry,fry,fry,I,L,Western Frisian,iso_registry_crosswalk,high,,Frysk,Western Frisian,https://fy.wikipedia.org,https://fy.wikipedia.org/w/api.php,fy.wikipedia,fywiki,Wikipedy,active,True,False,60367,180659,1233359,58544,77,7,7745,505169,8305687,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:15.521872+00:00,2026-07-19T08:26:15.521872+00:00,
pa,pa,pa,pa,pan,pan,pan,I,L,Panjabi,iso_registry_crosswalk,high,,ਪੰਜਾਬੀ,Punjabi,https://pa.wikipedia.org,https://pa.wikipedia.org/w/api.php,pa.wikipedia,pawiki,ਵਿਕੀਪੀਡੀਆ,active,True,False,59622,193093,840852,59662,137,10,1868,842042,9552079,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:18.930847+00:00,2026-07-19T08:28:18.930847+00:00,
cv,cv,cv,cv,chv,chv,chv,I,L,Chuvash,iso_registry_crosswalk,high,,чӑвашла,Chuvash,https://cv.wikipedia.org,https://cv.wikipedia.org/w/api.php,cv.wikipedia,cvwiki,Википеди,active,True,False,59095,123332,873891,40357,49,2,529,522907,5148750,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:59.370311+00:00,2026-07-19T08:25:59.370311+00:00,
vo,vo,vo,vo,vol,vol,vol,I,C,Volapük,iso_registry_crosswalk,high,,Volapük,Volapük,https://vo.wikipedia.org,https://vo.wikipedia.org/w/api.php,vo.wikipedia,vowiki,Vükiped,active,True,False,53409,171631,3334126,41505,40,1,0,1538791,11185420,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:30:00.748669+00:00,2026-07-19T08:30:00.748669+00:00,
tl,tl,tl,tl,tgl,tgl,tgl,I,L,Tagalog,iso_registry_crosswalk,high,,Tagalog,Tagalog,https://tl.wikipedia.org,https://tl.wikipedia.org/w/api.php,tl.wikipedia,tlwiki,Wikipedia,active,True,False,49140,249917,2210062,162918,280,10,1712,1586086,27625081,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:29:22.571869+00:00,2026-07-19T08:29:22.571869+00:00,
glk,glk,glk,,,,glk,I,L,Gilaki,direct_iso_639_3,high,,گیلکی,Gilaki,https://glk.wikipedia.org,https://glk.wikipedia.org/w/api.php,glk.wikipedia,glkwiki,Wikipedia,active,True,False,48313,57658,158540,18665,72,3,811,112077,2046743,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:18.793930+00:00,2026-07-19T08:26:18.793930+00:00,
